title,address,city,state,zip_code,price,beds,baths,area,region
Lot/Land For Sale,315 Orange St,Albany ,NY ,12210,500,,,,albany
Lot/Land For Sale,128 4th Ave,Albany ,NY ,12202,1500,,,,albany
House For Sale,157 Hawk St S,Albany ,NY ,12202,15000,,,,albany
House For Sale,361 Orange St,Albany ,NY ,12206,15000,,,,albany
House For Sale,268 Livingston Ave,Albany ,NY ,12210,5000,,,,albany
Lot/Land For Sale,51 Ontario St,Albany ,NY ,12206,1000,,,,albany
House For Sale,303 S Manning Blvd,Albany ,NY ,12208,259900,4,2,1694,albany
House For Sale,61 Grand St,Albany ,NY ,12207,99900,6,3,2856,albany
House For Sale,5 Brookwood Ave,Albany ,NY ,12203,215000,3,2,1470,albany
Condo For Sale,18 Andriana Ln,Albany ,NY ,12204,315000,2,,2282,albany
House For Sale,82 Whitehall Rd,Albany ,NY ,12209,149500,3,2,1232,albany
Apartment For Sale,137 4th Ave,Albany ,NY ,12202,164900,,,,albany
For Sale by Owner,569 3rd St,Albany ,NY ,12206,30000,4,2,2031,albany
House For Sale,999 New Scotland Rd,Albany ,NY ,12208,245000,4,2,2154,albany
Apartment For Sale,27 Mckinley St,Albany ,NY ,12206,199900,2,2,1160,albany
House For Sale,479 Elk St,Albany ,NY ,12206,70000,3,2,1680,albany
Apartment For Sale,316 1st St,Albany ,NY ,12206,13000,4,2,1950,albany
House For Sale,240 Ontario St,Albany ,NY ,12203,99000,6,3,1496,albany
Apartment For Sale,241 1st St,Albany ,NY ,12206,52500,4,2,1980,albany
Apartment For Sale,201 Catherine St,Albany ,NY ,12202,45000,5,2,1540,albany
Apartment For Sale,243 1st St,Albany ,NY ,12206,52500,5,2,2080,albany
Apartment For Sale,526 Morris St,Albany ,NY ,12208,209000,6,2,2352,albany
House For Sale,16 Kensington Pl,Albany ,NY ,12209,179000,2,3,1682,albany
House For Sale,121 Daytona Ave,Albany ,NY ,12203,204900,3,2,1400,albany
House For Sale,20 Fairlawn Ave,Albany ,NY ,12203,180000,3,2,1367,albany
Pre-Foreclosure (Auction),State St APT 4E,Albany ,NY ,12210,,1,1,626,albany
Pre-Foreclosure (Auction),Cuyler St,Albany ,NY ,12202,,4,1,900,albany
Pre-Foreclosure (Auction),S Pearl St,Albany ,NY ,12202,,9,3,3024,albany
Apartment For Sale,761 Madison Ave,Albany ,NY ,12208,525000,,,,albany
House For Sale,900 Myrtle Ave,Albany ,NY ,12208,139000,3,2,1248,albany
House For Sale,252 Yates St,Albany ,NY ,12208,125000,3,1,980,albany
Apartment For Sale,165 Cottage Ave,Albany ,NY ,12203,159000,3,2,1515,albany
House For Sale,74 Ormond St,Albany ,NY ,12203,47000,3,2,1012,albany
House For Sale,45 Holmes Ct,Albany ,NY ,12209,219900,5,,2457,albany
House For Sale,111 2nd Ave # 113,Albany ,NY ,12202,79900,6,,1952,albany
House For Sale,111 2nd Ave # 113,Albany ,NY ,12202,79900,6,,1952,albany
House For Sale,110 2nd St APT 112,Albany ,NY ,12210,79900,5,,2340,albany
House For Sale,65 2nd Ave,Albany ,NY ,12202,49000,3,1,1100,albany
