title,address,city,state,zip_code,price,beds,baths,area,region
Apartment For Sale,86 Murray St,Binghamton ,NY ,13905,280000,,,,binghamton
Apartment For Sale,107 Laurel Ave,Binghamton ,NY ,13905,107850,,,,binghamton
Apartment For Sale,35 North St,Binghamton ,NY ,13905,124900,,,,binghamton
Apartment For Sale,7 2nd St,Binghamton ,NY ,13903,69900,,,,binghamton
House For Sale,61 Belden St,Binghamton ,NY ,13903,37000,2,2,1156,binghamton
House For Sale,103 Schubert St,Binghamton ,NY ,13905,94500,4,1,1548,binghamton
House For Sale,416 Park Ave,Binghamton ,NY ,13903,89500,3,2,1223,binghamton
Pre-Foreclosure (Auction),Lennox Dr,Binghamton ,NY ,13903,,4,,2256,binghamton
Apartment For Sale,158 Henry St,Binghamton ,NY ,13901,199900,,,,binghamton
House For Sale,17 Everett St,Binghamton ,NY ,13905,56000,2,1,1424,binghamton
House For Sale,94 Grand Blvd,Binghamton ,NY ,13905,144900,3,3,2040,binghamton
Apartment For Sale,64 Jackson St,Binghamton ,NY ,13903,110000,3,1,5490,binghamton
House For Sale,3305 Gillespie Rd,Binghamton ,NY ,13903,89900,3,1,1108,binghamton
Apartment For Sale,1212 Vestal Ave,Binghamton ,NY ,13903,90000,2,1,1904,binghamton
Apartment For Sale,14 Clarke St,Binghamton ,NY ,13905,140000,1,1,2825,binghamton
House For Sale,48 Clarke St,Binghamton ,NY ,13905,90000,4,2,1548,binghamton
